user_id,item_id,timestamp
0,9450,1405296000
0,9840,1405296000
0,10077,1405296000
0,11156,1405296000
1,3310,1357430400
1,4573,1384387200
1,9080,1384387200
1,4137,1387843200
2,4209,1385337600
2,4387,1385337600
2,6363,1385337600
2,454,1386028800
2,5666,1386028800
2,8650,1386028800
2,8877,1386028800
3,8969,1366416000
3,10131,1366416000
3,8824,1367193600
3,8651,1367280000
3,10148,1367452800
3,3496,1367798400
4,8936,1351814400
4,5098,1364688000
4,8072,1364688000
4,8347,1364688000
4,10163,1364688000
5,3615,1351123200
5,9885,1351123200
5,3906,1354752000
5,8662,1358380800
5,8030,1366588800
5,2714,1367366400
5,6005,1367366400
5,9212,1395446400
5,4644,1395964800
6,9581,1396224000
6,9622,1396224000
6,9767,1396224000
7,5381,1356134400
7,457,1357516800
7,2420,1357689600
7,4277,1357689600
7,2939,1358121600
8,4185,1372204800
8,599,1375228800
8,1178,1376092800
8,948,1383264000
9,7140,1356393600
9,3000,1366243200
9,3896,1366243200
9,7560,1366243200
9,3904,1373932800
9,3905,1373932800
9,6607,1373932800
9,7862,1373932800
9,9560,1373932800
9,10266,1373932800
9,8608,1375747200
9,1521,1376092800
9,6606,1376092800
9,7397,1376092800
9,7789,1376092800
9,7849,1376092800
9,8466,1376092800
9,8613,1376092800
9,10042,1376092800
9,10364,1376092800
9,10322,1376870400
9,5181,1377648000
9,5850,1377648000
9,8482,1378771200
9,7524,1379376000
9,9494,1379980800
10,10842,1387756800
10,3531,1389830400
10,278,1397520000
10,1219,1397520000
10,4235,1397520000
11,10113,1354579200
11,455,1376697600
11,10094,1376697600
11,1190,1385337600
12,3227,1400630400
12,4195,1400630400
12,4196,1400630400
12,8043,1400630400
12,10574,1400630400
12,10580,1400630400
12,11234,1400630400
13,5063,1364169600
13,6969,1364169600
13,7298,1367452800
13,6231,1368403200
14,187,1374537600
14,3514,1375660800
14,8199,1375660800
15,664,1373414400
15,2244,1373414400
15,2646,1373414400
16,6281,1372118400
16,8824,1372118400
16,11361,1372118400
16,13,1383523200
16,7122,1383523200
16,9432,1383523200
16,10035,1383523200
17,8446,1358812800
17,9194,1358812800
17,9195,1358812800
18,2162,1363824000
18,82,1383264000
18,6000,1383264000
19,6309,1355616000
19,7295,1355616000
19,437,1369872000
20,4505,1360713600
20,2100,1378944000
20,4748,1378944000
21,331,1362009600
21,332,1362009600
21,2017,1362009600
22,4061,1381190400
22,7229,1381190400
22,8826,1381190400
23,1416,1394496000
23,5015,1394496000
23,5016,1394496000
24,5605,1357862400
24,5145,1381104000
24,6050,1381104000
24,9778,1381104000
25,11149,1394150400
25,5490,1394496000
25,5523,1394496000
26,271,1352764800
26,10085,1353024000
26,277,1357603200
26,4668,1357603200
26,8684,1357603200
26,9369,1357603200
26,10598,1357603200
26,3232,1373500800
26,8583,1373500800
27,6727,1395878400
27,8569,1395878400
27,10511,1395878400
28,5040,1384387200
28,1824,1395014400
28,3404,1395014400
28,4733,1395014400
28,8990,1395014400
29,6903,1364256000
29,6993,1364256000
29,8471,1368489600
29,6944,1371254400
29,2847,1372032000
29,688,1375833600
29,6251,1386288000
29,7117,1386288000
29,9031,1386288000
29,9947,1386288000
29,10545,1386288000
29,185,1389571200
29,360,1389571200
29,6311,1401753600
30,9229,1367971200
30,6334,1373414400
30,1880,1381449600
30,5181,1381449600
30,5194,1381449600
31,2245,1380067200
31,3803,1380067200
31,10239,1380067200
31,10778,1380067200
31,642,1380240000
31,6678,1380240000
32,3143,1351987200
32,407,1378771200
32,2309,1378771200
33,5306,1352592000
33,24,1353110400
33,10454,1354665600
34,467,1358726400
34,491,1358726400
34,2244,1358726400
34,4310,1358726400
34,4505,1358726400
34,8218,1358726400
35,3878,1230422400
35,4653,1256860800
35,5511,1267401600
35,5967,1275091200
35,6116,1275955200
35,2270,1279670400
35,6003,1285200000
35,6434,1289433600
35,4483,1312502400
35,8559,1325203200
35,8730,1338681600
35,9456,1341878400
35,9460,1343433600
35,9592,1345680000
35,8644,1346112000
35,9884,1353801600
35,9251,1358899200
35,2619,1358985600
35,2620,1358985600
35,9253,1358985600
35,2617,1359072000
35,2618,1359072000
35,4439,1359072000
35,9250,1359072000
35,10670,1361923200
35,10698,1362009600
35,10702,1362009600
35,3714,1363996800
35,10571,1364169600
35,10808,1364342400
35,8300,1368144000
35,10373,1372291200
35,10374,1372291200
35,5091,1372723200
35,5092,1372723200
35,6389,1372723200
35,5090,1372809600
35,5093,1372809600
35,10757,1379894400
35,2054,1387843200
35,2311,1388188800
35,11811,1390780800
35,11766,1393632000
35,11778,1393632000
35,6435,1394582400
35,11735,1395792000
35,11903,1396483200
35,11764,1396742400
35,2733,1397260800
36,2925,1346889600
36,7818,1358035200
36,3114,1359590400
37,6849,1298505600
37,8559,1324598400
37,9585,1338940800
37,9590,1338940800
37,9592,1340841600
37,10528,1358121600
37,10561,1358121600
37,3715,1360281600
37,10690,1360281600
37,10917,1375228800
37,10558,1379808000
37,11904,1394755200
37,10727,1395792000
37,11615,1401235200
37,3604,1402704000
38,5186,1316736000
38,5325,1316736000
38,5326,1316736000
38,5394,1316736000
38,6495,1316736000
38,7724,1316736000
38,5802,1318204800
38,6032,1318204800
38,7652,1335225600
39,9735,1362528000
39,10004,1362528000
39,5519,1365638400
40,2464,1363910400
40,6858,1363910400
40,6862,1363910400
41,5522,1357603200
41,2513,1366070400
41,5023,1366070400
41,6397,1366070400
42,5977,1283731200
42,5987,1284595200
42,9034,1372204800
42,10632,1372204800
42,11186,1372204800
42,4549,1395187200
43,893,1374105600
43,11411,1374105600
43,8635,1374278400
43,3563,1374883200
43,5132,1375228800
43,8150,1375228800
43,10106,1375228800
43,11249,1375228800
43,10435,1375833600
43,2038,1375920000
43,7130,1375920000
44,2308,1389657600
44,327,1392768000
44,11082,1394582400
44,12001,1399334400
44,1904,1402012800
44,5170,1402531200
45,227,1355529600
45,3897,1355529600
45,6804,1355529600
46,11651,1395532800
46,11939,1399852800
46,11874,1400457600
47,4880,1373760000
47,664,1375315200
47,727,1375315200
47,9763,1375315200
47,10163,1375315200
47,8824,1375574400
47,7532,1375660800
47,8124,1375660800
47,9369,1375660800
47,9620,1375660800
47,3496,1376006400
47,8851,1376006400
47,10106,1376006400
47,3426,1377043200
47,8099,1377043200
47,8150,1377043200
47,9110,1377043200
47,9836,1377043200
47,9853,1377043200
47,10000,1377043200
47,10134,1377043200
47,10148,1377043200
47,10178,1377043200
47,10223,1377043200
47,10632,1377043200
47,11141,1377043200
47,11447,1377043200
47,5578,1383177600
47,11005,1383177600
47,5098,1384819200
47,9279,1384819200
47,10746,1384819200
47,7130,1395446400
48,917,1381276800
48,1492,1381276800
48,2045,1381276800
48,3081,1381276800
48,4263,1381276800
48,6388,1381276800
48,9083,1381276800
48,9088,1381276800
48,10335,1381276800
48,10356,1381276800
48,10865,1381276800
48,55,1382140800
48,8562,1382140800
48,3163,1382745600
48,3433,1382918400
